,Names,Prices,Ratings,Images,Links
0,"Xiaomi 14 CIVI (Matcha Green, 256 GB)","₹42,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/s/s/14-civi-mzb0hd1in-xiaomi-original-imahfqjxh3dxkdp3.jpeg?q=70,https://www.flipkart.com/xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSAI0RN2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBHFGU7DP9WMCHS.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
1,"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","₹47,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/0/4/14-civi-mzb0hd0in-xiaomi-original-imahfqjyhhumkm6n.jpeg?q=70,https://www.flipkart.com/xiaomi-14-civi-cruise-blue-512-gb/p/itm21456ebc14d31?pid=MOBHFGU7P4NPRCCR&lid=LSTMOBHFGU7P4NPRCCRAEDANA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBHFGU7P4NPRCCR.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
2,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹47,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/h/z/14-civi-mzb0h0iin-xiaomi-original-imahfqjxnrqrxyfg.jpeg?q=70,https://www.flipkart.com/xiaomi-14-civi-shadow-black-512-gb/p/itm23d1de67ebc77?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBHFGU75KAEJQGN.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
3,"Redmi 7A (Matte Black, 32 GB)","₹6,999",4.3,https://rukminim2.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/m/j/w/redmi-7a-32-d-mzb7800in-mi-2-original-imafg27hkgpkhsdy.jpeg?q=70,https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7HO1DFJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
4,"Xiaomi 14 CIVI (Cruise Blue, 256 GB)","₹42,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/0/4/14-civi-mzb0hd0in-xiaomi-original-imahfqjyhhumkm6n.jpeg?q=70,https://www.flipkart.com/xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVBSUPQH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBHFGU7WVYJPNEV.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
5,"Xiaomi 14 (Black, 512 GB)","₹69,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/v/x/f/-original-imagzr2fzpaw9bkq.jpeg?q=70,https://www.flipkart.com/xiaomi-14-black-512-gb/p/itm9199c6406170d?pid=MOBGYGCM6WBYMZRH&lid=LSTMOBGYGCM6WBYMZRHJI0E5Z&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBGYGCM6WBYMZRH.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
6,"Redmi Note 5 (Black, 64 GB)","₹11,999",4.4,https://rukminim2.flixcart.com/image/312/312/jdkjzww0/mobile/u/y/j/redmi-note-5-mzb5916in-original-imaf2gabuvmuhvrz.jpeg?q=70,https://www.flipkart.com/redmi-note-5-black-64-gb/p/itmf2fc3phdkgahv?pid=MOBF28FTXZYZ6UYJ&lid=LSTMOBF28FTXZYZ6UYJSQJJLU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBF28FTXZYZ6UYJ.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
7,"Xiaomi 14 (White, 512 GB)","₹69,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/z/g/-original-imagzr2e2xxem9kq.jpeg?q=70,https://www.flipkart.com/xiaomi-14-white-512-gb/p/itma16b2232a226f?pid=MOBGYGCMMSNJUZJE&lid=LSTMOBGYGCMMSNJUZJEHI24XU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBGYGCMMSNJUZJE.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
8,"REDMI 10 Power (Power Black, 128 GB)","₹11,890",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/y/b/-original-imageftfzx8gfkys.jpeg?q=70,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm17561f2c0c6b6?pid=MOBGSYMFPHKSJTWH&lid=LSTMOBGSYMFPHKSJTWHNC4VUJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBGSYMFPHKSJTWH.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
9,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,490",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/i/8/-original-imag7chxqqu7h5hs.jpeg?q=70,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFNHYHCSEU&lid=LSTMOBGHDXFNHYHCSEU7DUDY7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=68086ce0-2e6e-4b73-be29-a8998982d1fc.MOBGHDXFNHYHCSEU.SEARCH&ppt=None&ppn=None&ssid=7nv1z8c7m80000001720703728998
